,Course_Group,Mode_Group,pre_q_group,ord_group,Mq_Group,Fq_Group,Mo_Group,Fo_Group,Previous qualification (grade),Admission grade,Displaced,Debtor,Gender,Scholarship holder,Age at enrollment,Marital status,Daytime/evening attendance	,Tuition fees up to date,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),notpass_1,notpass_2,Target
1033,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,129.0,118.2,1,0,0,1,18,1,1,1,4,13.25,5,15.571428571428571,1,0,Graduate
1034,Mid2,Mid,1,0.0,High,Mid,Mid2,Mid2,136.0,121.7,1,0,0,0,18,1,1,1,2,13.0,0,0.0,4,6,Dropout
1036,High,Mid,1,0.0,Mid,High,Mid2,Mid2,125.0,119.8,0,0,0,0,18,1,1,1,0,0.0,0,0.0,6,6,Dropout
1037,High,High,1,0.0,Mid,Mid,Mid2,Mid1,154.0,164.9,0,0,0,0,18,1,1,1,6,14.0,6,13.166666666666666,0,0,Graduate
1038,Mid2,Mid,1,0.0,Mid,High,Mid2,Mid2,100.0,100.0,1,0,0,1,20,1,1,1,2,12.0,6,12.833333333333334,0,0,Graduate
1040,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,126.0,120.4,1,0,0,0,18,1,1,1,5,11.8,5,10.4,1,1,Graduate
1041,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,124.0,117.8,0,0,0,1,20,1,1,1,7,12.791428571428572,7,12.791428571428572,1,1,Graduate
1042,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,150.0,110.0,0,0,0,0,40,4,1,1,8,11.625,5,11.2,0,2,Graduate
1043,High,High,1,0.0,High,High,Mid2,Mid2,133.0,128.8,1,0,0,1,18,1,1,1,6,11.994444444444444,7,12.43142857142857,1,1,Graduate
1044,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,126.0,116.6,1,0,0,0,19,1,1,1,5,11.6,5,12.2,1,1,Graduate
1045,Low,Low,1,,Mid,Mid,Mid2,Mid2,120.0,120.0,0,0,0,0,24,1,0,1,0,0.0,0,0.0,5,5,Dropout
1046,Mid2,High,1,0.0,Mid,High,Mid1,Mid2,175.0,157.5,1,0,0,0,19,1,1,1,6,13.166666666666666,6,13.166666666666666,0,0,Dropout
1047,High,High,1,0.0,Mid,Mid,Mid2,Mid1,141.0,136.3,1,0,0,0,19,1,1,1,7,14.1,7,14.1,1,1,Graduate
1048,High,High,1,0.0,Mid,Mid,Mid2,Mid2,133.0,121.5,1,0,0,1,20,1,1,1,6,12.396666666666668,7,12.94285714285714,1,1,Graduate
1049,High,High,1,0.0,High,High,Mid2,Mid2,143.0,133.9,0,0,0,0,18,1,1,1,7,15.014285714285714,8,16.0875,0,0,Graduate
1050,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,141.0,136.8,1,0,0,1,18,1,1,1,0,0.0,0,0.0,0,0,Graduate
1051,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,134.0,133.5,1,0,0,0,19,1,1,1,7,14.05,8,15.1,0,0,Graduate
1052,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,138.0,130.0,1,0,0,0,18,1,1,1,7,14.85,8,15.2,0,0,Dropout
1053,Mid2,Mid,1,,Mid,Mid,Mid1,Mid1,140.0,140.0,1,0,0,0,19,1,1,1,6,13.0,5,13.0,0,1,Graduate
1054,High,High,1,0.0,Mid,Mid,Mid2,Mid2,142.0,132.7,1,0,0,1,19,1,1,1,7,14.7875,8,15.8625,0,0,Graduate
1055,High,High,1,0.0,Mid,Mid,Mid2,Mid2,118.0,117.8,0,0,0,1,19,1,1,1,7,13.7,7,14.671428571428574,0,1,Graduate
1056,High,High,1,0.0,Mid,Mid,Mid2,Mid1,131.0,126.1,1,0,0,1,19,1,1,1,7,12.495714285714286,7,12.242857142857144,0,1,Dropout
1057,High,High,1,0.0,Mid,High,Mid1,Mid2,130.0,120.0,0,0,0,0,19,1,1,1,6,14.566666666666668,6,14.566666666666668,1,1,Graduate
1058,Mid1,Low,0,,Mid,Mid,Mid1,Mid2,133.1,100.0,1,1,0,0,25,1,1,0,5,11.2,4,11.25,0,1,Dropout
1059,High,High,1,0.0,Mid,Mid,Mid2,Mid2,130.0,116.8,0,0,0,0,20,1,1,1,7,12.685714285714283,7,12.685714285714283,1,1,Graduate
1060,High,High,1,,Mid,Mid,Mid2,Mid2,130.0,128.3,0,1,0,0,23,1,1,0,7,13.571428571428571,4,13.25,2,5,Dropout
1061,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,133.1,117.0,0,0,0,0,20,1,1,1,0,0.0,0,0.0,6,6,Dropout
1062,Mid2,Low,1,0.0,Mid,Mid,Mid2,Mid2,130.0,131.5,0,0,0,0,27,1,0,1,5,11.0,6,11.166666666666666,1,0,Graduate
1063,High,High,1,0.0,Mid,Mid,Mid2,Mid1,149.0,134.8,0,0,0,0,18,1,1,1,8,14.445,8,14.445,0,0,Graduate
1065,Mid2,Low,1,,Mid,Mid,Mid2,Mid2,130.0,130.0,1,1,0,0,23,1,0,0,11,14.0,8,14.625,1,2,Dropout
1066,High,High,1,0.0,High,Mid,Mid2,Mid2,145.0,127.5,1,0,0,1,19,1,1,1,6,13.416666666666666,6,13.416666666666666,1,1,Graduate
1067,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,130.0,123.0,0,0,0,0,18,1,1,1,5,12.333333333333334,5,11.4,0,0,Graduate
1068,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,128.0,100.0,1,0,0,0,20,1,1,1,7,13.1,8,14.8125,0,0,Graduate
1069,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,111.0,114.2,1,0,0,0,18,1,1,1,4,13.2,5,12.8,2,1,Graduate
1070,High,High,1,0.0,Mid,Mid,Mid2,Mid1,140.0,123.5,1,0,0,1,19,1,1,1,8,14.75,8,14.75,0,0,Graduate
1071,High,Mid,1,,Mid,Mid,Mid1,Mid2,140.0,144.3,1,0,0,1,19,1,1,1,6,13.142857142857142,6,14.333333333333334,0,0,Graduate
1073,Mid2,High,1,0.0,Mid,Mid,Mid1,Low,151.0,161.9,0,0,0,0,18,1,1,1,4,13.75,5,14.857142857142858,1,0,Graduate
1074,High,High,1,0.0,Mid,Mid,Mid2,Mid2,132.0,135.9,0,0,0,0,18,1,1,1,5,12.4,6,13.0,1,0,Graduate
1075,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,116.0,110.1,1,0,0,0,18,1,1,1,6,13.333333333333334,6,12.0,0,0,Graduate
1076,Low,Low,1,0.0,Mid,High,Mid2,Mid2,120.0,122.5,0,0,0,0,28,1,1,0,11,11.727272727272728,8,12.0,0,0,Dropout
1077,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,158.0,138.1,1,0,0,0,19,1,1,1,4,12.5,1,14.0,2,5,Dropout
1078,Mid1,Mid,1,0.0,Mid,Mid,Mid1,Mid2,116.0,117.3,1,1,0,0,20,1,1,1,0,0.0,0,0.0,0,0,Dropout
1079,High,High,1,0.0,Mid,Mid,Mid2,Mid2,112.0,106.8,1,0,0,1,19,1,1,1,6,13.533333333333331,7,13.614285714285714,1,1,Graduate
1080,Mid2,High,1,0.0,Mid,Mid,Mid2,Low,126.0,120.1,0,0,0,1,20,1,1,1,6,13.166666666666666,6,12.666666666666666,0,0,Graduate
1081,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,120.0,116.5,1,0,0,1,19,1,1,1,5,13.2,5,11.0,1,1,Graduate
1083,Low,High,1,0.0,Mid,Mid,Mid2,Mid1,153.0,139.7,1,0,0,1,19,1,1,1,7,13.428571428571429,7,14.857142857142858,0,0,Graduate
1084,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,124.0,123.7,1,0,0,1,18,1,1,1,6,12.714285714285714,6,12.625,0,0,Graduate
1085,Low,Mid,1,0.0,Mid,Mid,Mid1,Mid1,127.0,116.5,0,0,0,0,19,1,1,1,0,0.0,0,0.0,6,6,Dropout
1086,Mid1,Mid,1,0.0,Low,High,Mid2,Mid2,126.0,122.2,0,0,0,1,19,1,1,1,6,13.666666666666666,6,13.666666666666666,0,0,Graduate
1087,Mid2,High,1,0.0,High,Mid,High,Mid2,133.1,146.0,0,1,0,0,20,1,1,1,5,11.0,6,13.166666666666666,1,0,Graduate
1090,Low,Mid,1,0.0,Mid,Mid,Mid2,Mid2,130.0,123.8,0,0,0,0,18,1,1,1,4,12.0,5,12.0,1,0,Graduate
1091,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,127.0,120.0,0,0,0,0,18,1,1,1,0,0.0,0,0.0,6,6,Dropout
1092,High,Mid,1,0.0,Mid,High,Low,Mid2,143.0,126.9,1,0,0,0,18,1,1,1,5,11.0,6,11.666666666666666,1,0,Graduate
1093,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid1,130.0,121.3,1,0,0,0,20,1,1,1,5,12.0,6,11.571428571428571,1,0,Dropout
1094,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,136.0,129.0,1,0,0,1,19,1,1,1,7,13.308571428571428,8,12.55,0,0,Graduate
1095,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,125.0,114.9,1,1,0,0,21,1,1,0,3,13.666666666666666,3,10.666666666666666,3,3,Dropout
1096,Mid1,Mid,0,1.0,Low,Mid,Mid2,Mid2,110.0,106.5,1,1,0,0,20,1,1,0,0,0.0,0,0.0,6,6,Dropout
1097,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,130.0,133.9,1,0,0,0,18,1,1,1,5,12.2,4,11.25,1,2,Graduate
1098,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,135.0,124.9,0,0,0,1,20,1,1,1,6,12.666666666666666,6,12.833333333333334,0,0,Graduate
1099,High,High,1,0.0,Mid,Mid,Mid1,Mid2,133.0,128.5,1,0,0,1,19,1,1,1,8,14.07125,8,14.07125,0,0,Graduate
1100,Mid2,High,1,1.0,Mid,Mid,Mid2,Mid2,122.0,126.2,1,0,0,0,22,1,1,1,4,14.25,5,13.2,1,0,Dropout
1101,Low,Mid,1,0.0,Mid,Mid,Mid2,Mid2,122.0,121.7,1,0,0,0,22,1,1,0,0,0.0,0,0.0,6,2,Dropout
1104,High,High,1,0.0,Mid,Mid,Low,Mid2,128.0,120.3,1,0,0,0,19,1,1,1,2,13.0,5,11.6,4,1,Graduate
1105,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,139.0,127.8,1,0,0,0,19,1,1,1,0,0.0,0,0.0,0,0,Dropout
1106,High,High,1,0.0,Low,Low,Low,Low,124.0,123.3,1,0,0,1,20,1,1,1,7,14.901428571428571,7,14.901428571428571,1,1,Dropout
1107,High,High,1,0.0,High,Mid,Mid1,Mid2,135.0,126.3,1,1,0,1,18,1,1,1,7,12.65,8,12.445555555555554,0,0,Graduate
1108,Low,Mid,1,,Mid,Mid,Mid2,Mid2,110.0,128.2,0,0,0,0,22,1,0,0,7,11.0,5,10.6,5,0,Dropout
1109,Mid2,Mid,1,0.0,Mid,Low,Low,Mid2,138.0,134.9,1,0,0,0,20,1,1,1,4,12.4,5,12.666666666666666,1,0,Graduate
1110,Mid1,Mid,1,,High,High,Mid2,Mid2,140.0,140.0,0,0,0,0,19,1,1,1,6,12.0,6,12.666666666666666,0,0,Graduate
1111,High,High,1,0.0,Mid,Mid,Mid2,Mid2,126.0,115.5,1,0,0,1,19,1,1,1,7,12.135714285714286,7,13.328571428571427,0,1,Graduate
1114,High,High,1,0.0,Mid,Mid,Mid2,Mid2,145.0,136.6,0,0,0,1,19,1,1,1,6,13.766666666666666,7,14.051428571428572,1,1,Graduate
1115,High,Mid,1,0.0,High,Mid,Mid2,Mid2,124.0,119.3,1,0,0,0,19,1,1,1,8,13.11625,8,13.11625,0,0,Graduate
1116,Mid2,High,1,0.0,Mid,High,Mid1,Mid2,160.0,152.0,1,0,0,0,19,1,1,0,0,0.0,0,0.0,5,6,Dropout
1117,High,High,1,0.0,High,Mid,Mid2,Mid2,138.0,144.3,0,0,0,0,20,1,1,1,6,12.7,7,13.571428571428571,1,1,Graduate
1119,High,Mid,1,0.0,Mid,High,Mid2,Mid2,127.0,129.5,1,0,0,1,20,1,1,1,6,12.333333333333334,6,12.333333333333334,1,1,Graduate
1121,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,111.0,105.4,0,0,0,0,20,1,1,1,5,13.333333333333334,5,13.2,0,0,Graduate
1122,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,100.0,136.0,1,0,0,0,21,1,1,1,7,14.355555555555554,8,13.49375,0,0,Graduate
1123,Mid1,Mid,1,,Mid,High,Mid2,Mid2,160.0,160.0,0,1,0,1,19,1,1,1,6,13.0,5,13.0,0,1,Graduate
1124,Mid2,High,1,0.0,High,Mid,Mid2,Mid2,152.0,139.1,0,0,0,1,19,1,1,1,6,12.833333333333334,6,13.5,0,0,Graduate
1125,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,144.0,126.9,0,0,0,1,21,1,1,1,5,13.2,4,13.0,0,1,Graduate
1126,High,Low,0,1.0,Mid,Mid,Mid1,Mid2,133.8,184.0,0,0,0,0,28,1,1,1,7,17.005555555555556,8,16.582222222222224,0,0,Graduate
1127,High,High,1,0.0,Mid,High,Mid2,Mid2,125.0,125.0,1,1,0,1,19,1,1,0,5,10.6,5,11.0,1,1,Graduate
1128,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,150.0,138.5,0,0,0,1,18,1,1,1,5,14.0,5,13.6,0,0,Graduate
1129,High,Mid,1,0.0,Mid,High,Mid2,Mid2,143.0,133.5,1,0,0,1,18,5,1,1,7,12.114285714285714,7,12.114285714285714,1,1,Graduate
1130,High,High,1,0.0,Mid,Mid,Mid2,Mid2,145.0,141.5,1,0,0,1,18,1,1,1,8,13.05875,8,13.05875,0,0,Graduate
1131,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,120.0,130.0,1,0,0,0,22,1,1,1,7,13.285714285714286,7,13.285714285714286,1,1,Graduate
1133,High,High,1,0.0,Mid,Mid,Mid2,Mid2,145.0,145.0,0,0,0,1,18,1,1,1,7,14.071428571428571,8,15.1625,0,0,Graduate
1134,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,122.0,114.3,0,0,0,0,20,1,1,0,0,0.0,0,0.0,6,6,Dropout
1135,Mid1,Mid,1,,Mid,Mid,Mid2,Mid2,110.0,108.3,0,0,0,0,26,1,1,0,4,11.25,3,11.0,5,7,Dropout
1136,Mid2,High,1,0.0,Mid,High,Mid2,Mid2,136.0,125.2,1,0,0,1,18,1,1,1,6,14.0,6,13.625,0,0,Graduate
1137,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,145.0,131.7,1,0,0,1,21,1,1,1,6,12.166666666666666,3,11.666666666666666,0,3,Dropout
1138,High,Mid,1,0.0,High,Mid,Mid2,Mid2,141.0,126.3,1,0,0,0,18,1,1,1,7,13.297142857142855,7,13.297142857142855,1,1,Graduate
1139,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,149.0,147.6,1,0,0,0,20,1,1,1,6,13.923076923076923,6,14.25,0,0,Graduate
1140,High,High,1,0.0,High,Mid,Mid2,Mid2,130.0,125.1,1,0,0,0,18,1,1,1,7,13.37,7,12.833333333333334,0,1,Graduate
1142,Mid1,High,1,0.0,Mid,Mid,Mid1,Mid1,128.0,130.8,1,0,0,0,20,1,1,1,4,15.0,4,13.75,1,1,Dropout
1143,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,152.0,154.1,0,1,0,1,18,1,1,1,6,13.333333333333334,6,12.571428571428571,0,0,Graduate
1145,Mid2,High,1,0.0,Mid,Mid,Low,Low,107.0,103.5,1,0,0,0,22,1,0,1,5,13.4,5,12.2,1,1,Graduate
1147,Low,Mid,1,0.0,Mid,High,Mid2,Mid2,141.0,100.0,0,0,0,0,21,1,0,1,4,11.5,5,11.4,1,0,Graduate
1149,High,High,1,0.0,Mid,Mid,Mid2,Mid1,148.0,133.8,0,0,0,0,18,1,1,1,7,13.485714285714284,7,13.485714285714284,1,1,Graduate
1150,Mid2,High,1,0.0,Low,Mid,Mid2,Mid2,130.0,118.5,0,0,0,1,18,1,1,1,6,12.0,6,11.285714285714286,0,0,Graduate
1151,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid1,145.0,150.3,1,0,0,0,19,1,1,1,0,0.0,0,0.0,0,0,Dropout
1154,High,High,1,0.0,Mid,Mid,Mid2,Mid2,135.0,120.5,1,0,0,0,19,1,1,1,7,13.258571428571427,7,13.258571428571427,1,1,Graduate
1156,Mid1,Mid,1,0.0,High,Mid,Mid2,Mid2,123.0,120.6,1,0,0,0,19,1,1,0,3,11.666666666666666,1,10.0,3,5,Dropout
1157,Mid1,High,1,0.0,High,Mid,Mid2,Mid2,126.0,118.7,1,0,0,1,21,1,1,1,6,13.571428571428571,6,12.5,0,0,Graduate
1158,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,150.0,130.8,0,0,0,1,20,1,1,1,5,11.8,5,11.833333333333334,1,1,Graduate
1159,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,121.0,112.6,1,0,0,1,20,1,1,1,5,14.2,5,13.285714285714286,0,0,Graduate
1160,Low,Low,0,,Mid,Mid,Mid2,Mid2,133.1,117.2,0,0,0,0,41,1,0,1,5,11.0,5,11.8,0,0,Graduate
1162,High,Mid,1,0.0,High,Mid,Mid2,Mid2,139.0,131.8,1,0,0,0,18,1,1,1,7,14.652857142857142,7,14.652857142857142,1,1,Graduate
1163,Mid2,Low,1,0.0,Mid,Mid,Mid2,Mid1,160.0,97.0,0,0,0,1,35,4,0,1,6,11.333333333333334,6,11.333333333333334,0,0,Graduate
1164,High,Low,1,0.0,Mid,Mid,Mid2,Mid2,110.0,130.0,0,1,0,0,32,1,1,0,4,13.7,0,0.0,3,7,Dropout
1165,Mid2,Low,1,,Mid,Mid,Mid2,Mid2,140.0,148.0,0,0,0,0,37,1,0,1,11,13.727272727272728,8,14.75,0,0,Graduate
1166,Mid1,Low,0,1.0,Mid,Mid,Mid2,Mid2,130.0,103.4,0,0,0,0,30,2,1,1,7,11.75,7,11.142857142857142,0,1,Dropout
1167,Mid2,Mid,1,0.0,Mid,Mid,Low,Low,132.0,127.1,0,0,1,0,23,1,1,1,6,12.333333333333334,5,13.0,0,1,Graduate
1168,Mid2,Mid,1,0.0,Mid,Mid,Mid1,Mid2,139.0,124.0,1,0,0,1,20,1,1,1,6,14.0,6,13.857142857142858,0,0,Dropout
1169,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,135.0,121.4,0,0,1,0,21,1,1,1,4,11.5,4,11.75,1,1,Graduate
1170,Mid1,High,1,0.0,High,Mid,Mid2,Mid2,117.0,118.1,0,0,1,0,19,1,1,1,5,11.2,5,13.2,0,0,Graduate
1171,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,137.0,121.3,1,0,1,1,18,1,1,1,7,15.07,7,15.07,1,1,Graduate
1172,Low,Mid,1,0.0,Low,Low,Low,Low,144.0,119.5,0,0,1,0,18,1,1,1,1,10.0,1,12.0,4,4,Dropout
1174,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,140.0,130.2,1,0,1,0,22,1,1,1,4,13.0,4,12.6,2,2,Graduate
1175,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,130.0,130.0,1,0,1,0,18,1,1,1,4,11.0,3,11.25,2,3,Dropout
1176,High,High,1,0.0,Mid,Mid,Mid2,Mid2,130.0,126.9,1,0,0,0,18,1,1,1,6,13.571428571428571,5,12.166666666666666,0,1,Graduate
1177,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid1,152.0,168.5,1,0,1,0,21,1,1,1,5,14.6,5,14.2,1,1,Graduate
1178,High,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,130.0,0,1,0,0,38,4,1,1,3,11.833333333333334,2,10.0,4,5,Dropout
1179,Mid1,Mid,1,0.0,High,Mid,Mid2,Mid2,140.0,122.8,0,0,0,1,19,1,1,1,7,12.625,8,12.5125,0,0,Graduate
1180,High,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,110.0,0,0,0,0,36,6,1,1,4,11.5,3,12.333333333333334,3,4,Dropout
1181,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,140.0,127.1,1,0,0,0,18,1,1,1,4,13.25,4,10.5,1,1,Graduate
1182,High,High,1,0.0,Mid,Mid,Mid2,Mid2,133.1,108.5,1,0,0,0,19,1,1,1,7,12.60625,6,11.9,0,2,Graduate
1183,Mid2,High,1,,Mid,High,Mid2,Mid2,140.0,138.2,0,1,0,0,21,1,1,0,8,13.75,5,13.2,2,4,Dropout
1185,High,High,1,0.0,Mid,Mid,Mid2,Mid2,135.0,124.5,0,0,0,1,18,1,1,1,5,11.142857142857142,6,12.285714285714286,1,0,Graduate
1187,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,140.0,132.3,1,0,0,0,20,1,1,1,1,10.0,1,11.0,4,4,Dropout
1188,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,128.0,120.7,1,1,0,0,18,1,1,1,6,11.666666666666666,4,11.5,0,2,Graduate
1189,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid1,141.0,132.6,0,0,0,1,18,1,1,1,6,14.0,6,13.142857142857142,0,0,Graduate
1190,Low,Low,0,1.0,Low,Low,Low,Low,140.0,140.0,0,0,0,0,25,1,1,1,0,0.0,0,0.0,5,5,Dropout
1191,High,High,1,0.0,Mid,Mid,Mid2,Mid1,139.0,124.5,1,0,0,0,19,1,1,1,7,12.04142857142857,7,12.04142857142857,1,1,Graduate
1192,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,142.0,142.0,1,0,0,1,18,1,1,1,0,0.0,0,0.0,0,0,Graduate
1193,Mid1,Low,1,,Mid,Mid,Mid2,Mid2,130.0,130.0,0,0,0,0,39,1,1,1,13,13.76923076923077,12,14.583333333333334,0,0,Graduate
1194,Mid1,Low,1,0.0,High,Mid,Mid2,Mid2,130.0,144.0,0,0,0,0,29,2,1,1,18,15.444444444444445,13,15.307692307692308,0,0,Graduate
1196,Mid2,Low,0,1.0,Mid,Mid,Mid2,Mid2,140.0,140.0,0,0,0,0,23,1,1,0,2,10.0,0,0.0,1,6,Dropout
1197,Low,Mid,1,0.0,Mid,Mid,Mid2,Mid2,120.0,113.9,1,0,0,0,21,1,1,1,4,12.25,3,10.333333333333334,2,3,Dropout
1198,High,High,1,0.0,Mid,Mid,Mid2,Mid1,147.0,137.2,0,0,0,0,18,1,1,0,6,14.5,6,15.166666666666666,0,0,Graduate
1199,Mid2,Low,1,,Mid,Mid,Mid2,Mid2,140.0,140.0,1,0,0,0,23,1,1,1,6,15.571428571428571,6,16.375,0,0,Graduate
1200,Low,High,1,0.0,Mid,Mid,Mid2,Mid1,161.0,152.3,0,0,0,0,18,1,1,1,6,15.571428571428571,6,14.714285714285714,0,0,Graduate
1201,Mid2,Low,0,,Mid,Mid,Mid2,Mid2,133.1,112.5,0,0,0,0,32,2,0,1,5,13.8,6,12.166666666666666,1,0,Graduate
1202,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,150.0,101.0,0,1,0,0,29,2,1,0,3,10.666666666666666,2,14.8,2,3,Dropout
1203,High,High,1,0.0,Mid,High,High,High,113.0,112.3,1,1,0,1,20,1,1,1,5,11.6,4,11.75,1,2,Graduate
1204,High,Low,1,0.0,Low,Low,Low,Low,140.0,114.0,1,0,0,0,28,1,1,0,1,13.0,0,0.0,5,6,Dropout
1205,Mid1,Low,0,1.0,High,High,Mid1,Mid2,130.0,130.0,0,0,0,0,27,1,1,1,3,12.0,4,13.625,2,1,Graduate
1206,High,Mid,1,0.0,Mid,Low,Low,Low,120.0,121.5,0,1,0,0,22,1,1,1,12,12.333333333333334,12,12.333333333333334,2,2,Graduate
1208,Mid2,Low,0,1.0,Mid,High,Low,Mid2,130.0,130.0,0,0,0,0,28,1,0,0,1,11.0,0,0.0,5,6,Dropout
1209,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,120.0,125.7,0,1,0,0,43,2,1,0,4,12.25,4,10.5,2,2,Dropout
1210,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,140.0,128.0,1,0,0,0,32,1,1,0,0,0.0,0,0.0,7,8,Dropout
1212,High,Low,0,,High,Mid,Mid2,Mid1,133.1,120.0,0,0,0,1,35,4,1,1,8,13.63,8,13.63,0,0,Graduate
1213,Mid1,High,1,0.0,Mid,Mid,Low,Low,130.0,117.8,1,0,0,0,21,1,1,1,3,13.0,4,11.5,2,1,Graduate
1215,High,High,1,0.0,Mid,High,Mid2,Mid2,176.0,169.7,0,0,0,1,18,1,1,1,7,16.9,8,16.37777777777778,0,0,Graduate
1216,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,124.0,117.7,1,0,0,0,18,1,1,1,5,12.0,4,12.0,1,2,Graduate
1217,Mid2,Mid,1,,Mid,Mid,Mid2,Mid2,120.0,121.8,1,0,0,0,22,1,0,1,6,12.5,6,13.285714285714286,0,0,Graduate
1218,High,High,1,0.0,Mid,Mid,Mid2,Mid2,140.0,128.3,1,0,0,0,19,1,1,1,7,12.764285714285714,7,12.764285714285714,1,1,Graduate
1219,Mid1,Mid,1,0.0,Mid,High,Mid2,Mid2,143.0,132.2,1,0,0,1,18,1,1,1,5,13.75,5,12.166666666666666,0,0,Graduate
1220,Mid1,High,1,0.0,Low,Mid,Mid2,Mid1,136.0,134.3,1,1,0,0,19,1,1,1,0,0.0,0,0.0,0,0,Dropout
1221,High,High,1,0.0,Mid,Mid,Mid2,Mid2,132.0,123.4,0,0,0,1,18,1,1,1,7,14.604285714285712,8,15.68333333333333,0,0,Graduate
1222,Low,Low,0,,Mid,Low,Mid2,Mid2,133.1,121.7,0,1,0,0,31,2,0,0,0,0.0,0,0.0,5,5,Dropout
1223,Mid2,Low,0,,Mid,Mid,Mid1,Mid2,100.0,130.0,0,1,0,1,33,2,0,1,5,13.833333333333334,6,12.5,1,0,Graduate
1224,High,High,1,0.0,Mid,High,Mid2,Mid2,137.0,126.5,1,0,0,1,19,1,1,1,8,13.57625,8,13.57625,0,0,Graduate
1225,High,Mid,1,0.0,High,High,Mid2,Mid2,153.0,159.7,1,0,0,1,18,1,1,1,6,15.142857142857142,6,15.833333333333334,0,0,Graduate
1226,Mid1,High,1,0.0,Low,Mid,Mid2,Mid2,160.0,151.3,0,0,0,0,23,1,1,1,3,10.666666666666666,5,11.6,2,0,Graduate
1227,High,Mid,1,0.0,High,High,Mid2,Mid2,145.0,138.0,1,0,0,0,20,1,1,1,5,11.2,6,12.0,1,0,Graduate
1228,High,High,1,0.0,High,High,Mid2,Mid2,137.0,126.5,1,0,0,0,18,1,1,1,8,13.76375,8,13.76375,0,0,Graduate
1230,High,High,1,0.0,Mid,High,Mid2,Mid2,120.0,112.3,0,0,0,1,22,1,1,1,5,10.714285714285714,5,12.2,1,1,Graduate
1231,High,High,1,0.0,Mid,Mid,Mid2,Mid1,122.0,127.3,1,1,0,0,20,1,1,1,6,12.166666666666666,6,11.666666666666666,0,0,Graduate
1232,High,Low,0,1.0,Mid,High,Mid2,Mid2,130.0,130.0,1,0,0,0,23,1,1,1,6,14.357142857142858,6,14.357142857142858,1,1,Graduate
1233,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,133.1,115.0,1,0,0,0,19,1,1,1,6,12.833333333333334,6,12.666666666666666,0,0,Graduate
